Key,Source,Context,English
MobilityRank3LongDesc,progression,Skill,Increase your mobility by 12%
MobilityRank4LongDesc,progression,Skill,Increase your mobility by 16%
MobilityRank5LongDesc,progression,Skill,Increase your mobility by 20%
MobilityRank6LongDesc,progression,Skill,Increase your mobility by 22%
MobilityRank7LongDesc,progression,Skill,Increase your mobility by 24%
MobilityRank8LongDesc,progression,Skill,Increase your mobility by 26%
MobilityRank9LongDesc,progression,Skill,Increase your mobility by 28%
MobilityRank10LongDesc,progression,Skill,Increase your mobility by 30%

MiningMasteryName,progression,Skill,Mining Mastery
MiningMasteryDesc,progression,Skill,You've acquired the knowledge to better learn how to gather more resources while mining.
MiningMasteryRank1Desc,progression,Skill,"+6% more stone, ore and lumber"
MiningMasteryRank2Desc,progression,Skill,"+12% more stone, ore and lumber"
MiningMasteryRank3Desc,progression,Skill,"+18% more stone, ore and lumber"
MiningMasteryRank4Desc,progression,Skill,"+24% more stone, ore and lumber"
MiningMasteryRank5Desc,progression,Skill,"+30% more stone, ore and lumber\n+10% Block Damage"
MiningMasteryRank6Desc,progression,Skill,"+34% more stone, ore and lumber\n+10% Block Damage"
MiningMasteryRank7Desc,progression,Skill,"+38% more stone, ore and lumber\n+10% Block Damage"
MiningMasteryRank8Desc,progression,Skill,"+42% more stone, ore and lumber\n+10% Block Damage"
MiningMasteryRank9Desc,progression,Skill,"+46% more stone, ore and lumber\n+10% Block Damage"
MiningMasteryRank10Desc,progression,Skill,"+50% more stone, ore and lumber\n+20% Block Damage"
MiningMasteryRank1LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 6%"
MiningMasteryRank2LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 12%"
MiningMasteryRank3LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 18%"
MiningMasteryRank4LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 24%"
MiningMasteryRank5LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 30%\nIncrease any block damage you cause by 10%."
MiningMasteryRank6LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 34%\nIncrease any block damage you cause by 10%."
MiningMasteryRank7LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 38%\nIncrease any block damage you cause by 10%."
MiningMasteryRank8LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 42%\nIncrease any block damage you cause by 10%."
MiningMasteryRank9LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 46%\nIncrease any block damage you cause by 10%."
MiningMasteryRank10LongDesc,progression,Skill,"Gather rate of stone, ores and lumber increased by 50%\nIncrease any block damage you cause by 20%."

ToolMasteryName,progression,Skill,Tool Mastery
ToolMasteryDesc,progression,Skill,Hitting all kinds of materials day and night made you really buff. You're even stronger now.
ToolMasteryRank1Desc,progression,Skill,+12% Block Damage\n+6% Attack Speed
ToolMasteryRank2Desc,progression,Skill,+24% Block Damage\n+12% Attack Speed
ToolMasteryRank3Desc,progression,Skill,+36% Block Damage\n+18% Attack Speed
ToolMasteryRank4Desc,progression,Skill,+48% Block Damage\n+24% Attack Speed
ToolMasteryRank5Desc,progression,Skill,+60% Block Damage\n+30% Attack Speed\n-15% Falling Block Damage
ToolMasteryRank6Desc,progression,Skill,+68% Block Damage\n+34% Attack Speed\n-15% Falling Block Damage
ToolMasteryRank7Desc,progression,Skill,+76% Block Damage\n+38% Attack Speed\n-15% Falling Block Damage
ToolMasteryRank8Desc,progression,Skill,+84% Block Damage\n+42% Attack Speed\n-15% Falling Block Damage
ToolMasteryRank9Desc,progression,Skill,+92% Block Damage\n+46% Attack Speed\n-15% Falling Block Damage
ToolMasteryRank10Desc,progression,Skill,+100% Block Damage\n+50% Attack Speed\n-30% Falling Block Damage
ToolMasteryRank1LongDesc,progression,Skill,Increase your block damage by 12% and attack speed with tools by 6%
ToolMasteryRank2LongDesc,progression,Skill,Increase your block damage by 24% and attack speed with tools by 12%
ToolMasteryRank3LongDesc,progression,Skill,Increase your block damage by 36% and attack speed with tools by 18%
ToolMasteryRank4LongDesc,progression,Skill,Increase your block damage by 48% and attack speed with tools by 24%
ToolMasteryRank5LongDesc,progression,Skill,"Increase your block damage by 60% and attack speed with tools by 30%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools."
ToolMasteryRank6LongDesc,progression,Skill,"Increase your block damage by 68% and attack speed with tools by 34%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools."
ToolMasteryRank7LongDesc,progression,Skill,"Increase your block damage by 76% and attack speed with tools by 38%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools."
ToolMasteryRank8LongDesc,progression,Skill,"Increase your block damage by 84% and attack speed with tools by 42%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools."
ToolMasteryRank9LongDesc,progression,Skill,"Increase your block damage by 92% and attack speed with tools by 46%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools."
ToolMasteryRank10LongDesc,progression,Skill,"Increase your block damage by 100% and attack speed with tools by 50%. Decrease the damage you receive through falling blocks by 30%, if you're wearing tools."

ClubMasteryName,progression,Skill,Club Mastery
ClubMasteryDesc,progression,Skill,You've mastered the arts of the club.
ClubMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Attack Speed"
ClubMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Attack Speed"
ClubMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Attack Speed"
ClubMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Attack Speed"
ClubMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Attack Speed\n+15% Sprinting Damage"
ClubMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Attack Speed\n+15% Sprinting Damage"
ClubMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Attack Speed\n+15% Sprinting Damage"
ClubMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Attack Speed\n+15% Sprinting Damage"
ClubMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Attack Speed\n+15% Sprinting Damage"
ClubMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Attack Speed\n+30% Sprinting Damage"
ClubMasteryRank1LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 6%
ClubMasteryRank2LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 12%
ClubMasteryRank3LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 18%
ClubMasteryRank4LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 24%
ClubMasteryRank5LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 30%. Damage is increased by an additional 15% if you hit a target while sprinting.
ClubMasteryRank6LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 34%. Damage is increased by an additional 15% if you hit a target while sprinting.
ClubMasteryRank7LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 38%. Damage is increased by an additional 15% if you hit a target while sprinting.
ClubMasteryRank8LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 42%. Damage is increased by an additional 15% if you hit a target while sprinting.
ClubMasteryRank9LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 46%. Damage is increased by an additional 15% if you hit a target while sprinting.
ClubMasteryRank10LongDesc,progression,Skill,Increase your entity damage and attack speed with clubs by 50%. Damage is increased by an additional 30% if you hit a target while sprinting.

SledgeMasteryName,progression,Skill,Sledge Mastery
SledgeMasteryDesc,progression,Skill,You've mastered the arts of the sledgehammer.
SledgeMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Attack Speed\n+24% Block Damage"
SledgeMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Attack Speed\n+48% Block Damage"
SledgeMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Attack Speed\n+72% Block Damage"
SledgeMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Attack Speed\n+96% Block Damage"
SledgeMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Attack Speed\n+120% Block Damage"
SledgeMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Attack Speed\n+136% Block Damage"
SledgeMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Attack Speed\n+152% Block Damage"
SledgeMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Attack Speed\n+168% Block Damage"
SledgeMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Attack Speed\n+184% Block Damage"
SledgeMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Attack Speed\n+200% Block Damage"
SledgeMasteryRank1LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 6% and block damage by 24%.
SledgeMasteryRank2LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 12% and block damage by 48%.
SledgeMasteryRank3LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 18% and block damage by 72%.
SledgeMasteryRank4LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 24% and block damage by 96%.
SledgeMasteryRank5LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 30% and block damage by 120%.
SledgeMasteryRank6LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 34% and block damage by 136%.
SledgeMasteryRank7LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 38% and block damage by 152%.
SledgeMasteryRank8LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 42% and block damage by 168%.
SledgeMasteryRank9LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 46% and block damage by 186%.
SledgeMasteryRank10LongDesc,progression,Skill,Increase your entity damage and attack speed with sledgehammers by 50% and block damage by 200%.

BrawlingMasteryName,progression,Skill,Brawling Mastery
BrawlingMasteryDesc,progression,Skill,You've mastered the arts of brawling.
BrawlingMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Attack Speed"
BrawlingMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Attack Speed"
BrawlingMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Attack Speed"
BrawlingMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Attack Speed"
BrawlingMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Attack Speed\n10% faster movement"
BrawlingMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Attack Speed\n10% faster movement"
BrawlingMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Attack Speed\n10% faster movement"
BrawlingMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Attack Speed\n10% faster movement"
BrawlingMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Attack Speed\n10% faster movement"
BrawlingMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Attack Speed\n20% faster movement"
BrawlingMasteryRank1LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 6%
BrawlingMasteryRank2LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 12%
BrawlingMasteryRank3LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 18%
BrawlingMasteryRank4LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 24%
BrawlingMasteryRank5LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 30%. Also you are able to move 10% faster while using your fists or knuckles.
BrawlingMasteryRank6LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 34%. Also you are able to move 10% faster while using your fists or knuckles.
BrawlingMasteryRank7LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 38%. Also you are able to move 10% faster while using your fists or knuckles.
BrawlingMasteryRank8LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 42%. Also you are able to move 10% faster while using your fists or knuckles.
BrawlingMasteryRank9LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 46%. Also you are able to move 10% faster while using your fists or knuckles.
BrawlingMasteryRank10LongDesc,progression,Skill,Increase your entity damage and attack speed with your fists and knuckles by 50%. Also you are able to move 20% faster while using your fists or knuckles.

BladeMasteryName,progression,Skill,Blade Mastery
BladeMasteryDesc,progression,Skill,You've mastered the arts of the blade.
BladeMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Attack Speed"
BladeMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Attack Speed"
BladeMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Attack Speed"
BladeMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Attack Speed"
BladeMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Attack Speed\n+4 max bleeding stacks"
BladeMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Attack Speed\n+4 max bleeding stacks"
BladeMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Attack Speed\n+4 max bleeding stacks"
BladeMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Attack Speed\n+4 max bleeding stacks"
BladeMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Attack Speed\n+4 max bleeding stacks"
BladeMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Attack Speed\n+8 max bleeding stacks"
BladeMasteryRank1LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 6%
BladeMasteryRank2LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 12%
BladeMasteryRank3LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 18%
BladeMasteryRank4LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 24%
BladeMasteryRank5LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 30%. Also increase the maximum stacks of bleed you can apply by 4.
BladeMasteryRank6LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 34%. Also increase the maximum stacks of bleed you can apply by 4.
BladeMasteryRank7LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 38%. Also increase the maximum stacks of bleed you can apply by 4.
BladeMasteryRank8LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 42%. Also increase the maximum stacks of bleed you can apply by 4.
BladeMasteryRank9LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 46%. Also increase the maximum stacks of bleed you can apply by 4.
BladeMasteryRank10LongDesc,progression,Skill,Increase your entity damage and attack speed with bladed weapons by 50%. Also increase the maximum stacks of bleed you can apply by 8.

BatonMasteryName,progression,Skill,Baton Mastery
BatonMasteryDesc,progression,Skill,You've mastered the arts of the baton.
BatonMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Attack Speed"
BatonMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Attack Speed"
BatonMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Attack Speed"
BatonMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Attack Speed"
BatonMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Attack Speed\n15% Chance of knock down"
BatonMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Attack Speed\n15% Chance of knock down"
BatonMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Attack Speed\n15% Chance of knock down"
BatonMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Attack Speed\n15% Chance of knock down"
BatonMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Attack Speed\n15% Chance of knock down"
BatonMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Attack Speed\n30% Chance of knock down"
BatonMasteryRank1LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 6%
BatonMasteryRank2LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 12%
BatonMasteryRank3LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 18%
BatonMasteryRank4LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 24%
BatonMasteryRank5LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 30%. Also gives you an additional chance of 15% to knock down enemies.
BatonMasteryRank6LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 34%. Also gives you an additional chance of 15% to knock down enemies.
BatonMasteryRank7LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 38%. Also gives you an additional chance of 15% to knock down enemies.
BatonMasteryRank8LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 42%. Also gives you an additional chance of 15% to knock down enemies.
BatonMasteryRank9LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 46%. Also gives you an additional chance of 15% to knock down enemies.
BatonMasteryRank10LongDesc,progression,Skill,Increase your entity damage and attack speed with stun batons by 50%. Also gives you an additional chance of 30% to knock down enemies.

SpearMasteryName,progression,Skill,Spear Mastery
SpearMasteryDesc,progression,Skill,You've mastered the arts of the spear.
SpearMasteryRank1Desc,progression,Skill,"+6% Entity Damage, Range, Attack Speed"
SpearMasteryRank2Desc,progression,Skill,"+12% Entity Damage, Range, Attack Speed"
SpearMasteryRank3Desc,progression,Skill,"+18% Entity Damage, Range, Attack Speed"
SpearMasteryRank4Desc,progression,Skill,"+24% Entity Damage, Range, Attack Speed"
SpearMasteryRank5Desc,progression,Skill,"+30% Entity Damage, Range, Attack Speed,\n+25% additional thrown damage"
SpearMasteryRank6Desc,progression,Skill,"+34% Entity Damage, Range, Attack Speed,\n+25% additional thrown damage"
SpearMasteryRank7Desc,progression,Skill,"+38% Entity Damage, Range, Attack Speed,\n+25% additional thrown damage"
SpearMasteryRank8Desc,progression,Skill,"+42% Entity Damage, Range, Attack Speed,\n+25% additional thrown damage"
SpearMasteryRank9Desc,progression,Skill,"+46% Entity Damage, Range, Attack Speed,\n+25% additional thrown damage"
SpearMasteryRank10Desc,progression,Skill,"+50% Entity Damage, Range, Attack Speed,\n+50% additional thrown damage"
SpearMasteryRank1LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 6%"
SpearMasteryRank2LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 12%"
SpearMasteryRank3LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 18%"
SpearMasteryRank4LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 24%"
SpearMasteryRank5LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 30%. Thrown spears deal an additional 25% damage."
SpearMasteryRank6LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 34%. Thrown spears deal an additional 25% damage."
SpearMasteryRank7LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 38%. Thrown spears deal an additional 25% damage."
SpearMasteryRank8LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 42%. Thrown spears deal an additional 25% damage."
SpearMasteryRank9LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 46%. Thrown spears deal an additional 25% damage."
SpearMasteryRank10LongDesc,progression,Skill,"Increase your entity damage, range and attack speed with spears by 50%. Thrown spears deal an additional 50% damage."

ExtraExperienceName,progression,Skill,Fast Learner
ExtraExperienceDesc,progression,Skill,Increase your smarts and thus learn faster.
ExtraExperienceRank1Desc,progression,Skill,+12% XP Gain
ExtraExperienceRank2Desc,progression,Skill,+24% XP Gain
ExtraExperienceRank3Desc,progression,Skill,+36% XP Gain
ExtraExperienceRank4Desc,progression,Skill,+48% XP Gain
ExtraExperienceRank5Desc,progression,Skill,+60% XP Gain
ExtraExperienceRank6Desc,progression,Skill,+68% XP Gain
ExtraExperienceRank7Desc,progression,Skill,+76% XP Gain
ExtraExperienceRank8Desc,progression,Skill,+84% XP Gain
ExtraExperienceRank9Desc,progression,Skill,+92% XP Gain
ExtraExperienceRank10Desc,progression,Skill,+100% XP Gain
ExtraExperienceRank1LongDesc,progression,Skill,Increase your earned experience by 12%
ExtraExperienceRank2LongDesc,progression,Skill,Increase your earned experience by 24%
ExtraExperienceRank3LongDesc,progression,Skill,Increase your earned experience by 36%
ExtraExperienceRank4LongDesc,progression,Skill,Increase your earned experience by 48%
ExtraExperienceRank5LongDesc,progression,Skill,Increase your earned experience by 60%
ExtraExperienceRank6LongDesc,progression,Skill,Increase your earned experience by 68%
ExtraExperienceRank7LongDesc,progression,Skill,Increase your earned experience by 76%
ExtraExperienceRank8LongDesc,progression,Skill,Increase your earned experience by 84%
ExtraExperienceRank9LongDesc,progression,Skill,Increase your earned experience by 92%
ExtraExperienceRank10LongDesc,progression,Skill,Increase your earned experience by 100%

CraftingSpeedName,progression,Skill,Crafting Expertise
CraftingSpeedDesc,progression,Skill,Your nimble fingers allow you to craft even faster than before.
CraftingSpeedRank1Desc,progression,Skill,+8% Crafting Speed
CraftingSpeedRank2Desc,progression,Skill,+16% Crafting Speed
CraftingSpeedRank3Desc,progression,Skill,+24% Crafting Speed
CraftingSpeedRank4Desc,progression,Skill,+32% Crafting Speed
CraftingSpeedRank5Desc,progression,Skill,+40% Crafting Speed
CraftingSpeedRank6Desc,progression,Skill,+46% Crafting Speed
CraftingSpeedRank7Desc,progression,Skill,+52% Crafting Speed
CraftingSpeedRank8Desc,progression,Skill,+58% Crafting Speed
CraftingSpeedRank9Desc,progression,Skill,+64% Crafting Speed
CraftingSpeedRank10Desc,progression,Skill,+70% Crafting Speed\n+1 Crafting Tier
CraftingSpeedRank1LongDesc,progression,Skill,Increase your crafting speed by 8%
CraftingSpeedRank2LongDesc,progression,Skill,Increase your crafting speed by 16%
CraftingSpeedRank3LongDesc,progression,Skill,Increase your crafting speed by 24%
CraftingSpeedRank4LongDesc,progression,Skill,Increase your crafting speed by 32%
CraftingSpeedRank5LongDesc,progression,Skill,Increase your crafting speed by 40%
CraftingSpeedRank6LongDesc,progression,Skill,Increase your crafting speed by 46%
CraftingSpeedRank7LongDesc,progression,Skill,Increase your crafting speed by 52%
CraftingSpeedRank8LongDesc,progression,Skill,Increase your crafting speed by 58%
CraftingSpeedRank9LongDesc,progression,Skill,Increase your crafting speed by 64%
CraftingSpeedRank10LongDesc,progression,Skill,Increase your crafting speed by 70% and add an additional crafting tier.

RascalName,progression,Skill,Rascal
RascalDesc,progression,Skill,You know how to properly bargain. Only true rascals may get the best deals.
RascalRank1Desc,progression,Skill,2% better deals
RascalRank2Desc,progression,Skill,4% better deals
RascalRank3Desc,progression,Skill,6% better deals
RascalRank4Desc,progression,Skill,8% better deals
RascalRank5Desc,progression,Skill,10% better deals
RascalRank6Desc,progression,Skill,11% better deals
RascalRank7Desc,progression,Skill,12% better deals
RascalRank8Desc,progression,Skill,13% better deals
RascalRank9Desc,progression,Skill,14% better deals
RascalRank10Desc,progression,Skill,15% better deals
RascalRank1LongDesc,progression,Skill,You're able to get 2% better prices while selling and buying at traders.
RascalRank2LongDesc,progression,Skill,You're able to get 4% better prices while selling and buying at traders.
RascalRank3LongDesc,progression,Skill,You're able to get 6% better prices while selling and buying at traders.
RascalRank4LongDesc,progression,Skill,You're able to get 8% better prices while selling and buying at traders.
RascalRank5LongDesc,progression,Skill,You're able to get 10% better prices while selling and buying at traders.
RascalRank6LongDesc,progression,Skill,You're able to get 11% better prices while selling and buying at traders.
RascalRank7LongDesc,progression,Skill,You're able to get 12% better prices while selling and buying at traders.
RascalRank8LongDesc,progression,Skill,You're able to get 13% better prices while selling and buying at traders.
RascalRank9LongDesc,progression,Skill,You're able to get 14% better prices while selling and buying at traders.
RascalRank10LongDesc,progression,Skill,You're able to get 15% better prices while selling and buying at traders.

FoodEngineeringName,progression,Skill,Food Engineering
FoodEngineeringDesc,progression,Skill,"You know how to properly work with food, how to use it efficiently and get the most out of your resources"
FoodEngineeringRank1Desc,progression,Skill,Cooking costs 6% less resources
FoodEngineeringRank2Desc,progression,Skill,Cooking costs 12% less resources
FoodEngineeringRank3Desc,progression,Skill,Cooking costs 18% less resources
FoodEngineeringRank4Desc,progression,Skill,Cooking costs 24% less resources
FoodEngineeringRank5Desc,progression,Skill,Cooking costs 30% less resources\nGathered Crops +1
FoodEngineeringRank6Desc,progression,Skill,Cooking costs 34% less resources\nGathered Crops +1
FoodEngineeringRank7Desc,progression,Skill,Cooking costs 38% less resources\nGathered Crops +1
FoodEngineeringRank8Desc,progression,Skill,Cooking costs 42% less resources\nGathered Crops +1
FoodEngineeringRank9Desc,progression,Skill,Cooking costs 46% less resources\nGathered Crops +1
FoodEngineeringRank10Desc,progression,Skill,Cooking costs 50% less resources\nGathered Crops +2
FoodEngineeringRank1LongDesc,progression,Skill,"You're able to cook more efficiently, using 6% less resources."
FoodEngineeringRank2LongDesc,progression,Skill,"You're able to cook more efficiently, using 12% less resources."
FoodEngineeringRank3LongDesc,progression,Skill,"You're able to cook more efficiently, using 18% less resources."
FoodEngineeringRank4LongDesc,progression,Skill,"You're able to cook more efficiently, using 24% less resources."
FoodEngineeringRank5LongDesc,progression,Skill,"You're able to cook more efficiently, using 30% less resources. Also your crops get more fertile, increasing your harvest by 1."
FoodEngineeringRank6LongDesc,progression,Skill,"You're able to cook more efficiently, using 34% less resources. Also your crops get more fertile, increasing your harvest by 1."
FoodEngineeringRank7LongDesc,progression,Skill,"You're able to cook more efficiently, using 38% less resources. Also your crops get more fertile, increasing your harvest by 1."
FoodEngineeringRank8LongDesc,progression,Skill,"You're able to cook more efficiently, using 42% less resources. Also your crops get more fertile, increasing your harvest by 1."
FoodEngineeringRank9LongDesc,progression,Skill,"You're able to cook more efficiently, using 46% less resources. Also your crops get more fertile, increasing your harvest by 1."
FoodEngineeringRank10LongDesc,progression,Skill,"You're able to cook more efficiently, using 50% less resources. Also your crops get more fertile, increasing your harvest by 2."

ReveredName,progression,Skill,Revered
ReveredDesc,progression,Skill,You've made yourself quite the name and people are now even more grateful for your help in these times.
ReveredRank1Desc,progression,Skill,+20% Quest Reward
ReveredRank2Desc,progression,Skill,+40% Quest Reward
ReveredRank3Desc,progression,Skill,+60% Quest Reward
ReveredRank4Desc,progression,Skill,+80% Quest Reward
ReveredRank5Desc,progression,Skill,+100% Quest Reward
ReveredRank6Desc,progression,Skill,+110% Quest Reward
ReveredRank7Desc,progression,Skill,+120% Quest Reward
ReveredRank8Desc,progression,Skill,+130% Quest Reward
ReveredRank9Desc,progression,Skill,+140% Quest Reward
ReveredRank10Desc,progression,Skill,+150% Quest Reward\nChoose 1 additional reward
ReveredRank1LongDesc,progression,Skill,Increase the amount of Quest Rewards by 20%
ReveredRank2LongDesc,progression,Skill,Increase the amount of Quest Rewards by 40%
ReveredRank3LongDesc,progression,Skill,Increase the amount of Quest Rewards by 60%
ReveredRank4LongDesc,progression,Skill,Increase the amount of Quest Rewards by 80%
ReveredRank5LongDesc,progression,Skill,Increase the amount of Quest Rewards by 100%
ReveredRank6LongDesc,progression,Skill,Increase the amount of Quest Rewards by 110%
ReveredRank7LongDesc,progression,Skill,Increase the amount of Quest Rewards by 120%
ReveredRank8LongDesc,progression,Skill,Increase the amount of Quest Rewards by 130%
ReveredRank9LongDesc,progression,Skill,Increase the amount of Quest Rewards by 140%
ReveredRank10LongDesc,progression,Skill,Increase the amount of Quest Rewards by 150%. Also you may choose an additional reward for quests.

SalvagerName,progression,Skill,Disassembling Knowledge
SalvagerDesc,progression,Skill,You've acquired the knowledge to better learn how to gather more resources while salvaging mechanical and electrical objects.
SalvagerRank1Desc,progression,Skill,"+6% more Salvage, Block Damage and Attack Speed"
SalvagerRank2Desc,progression,Skill,"+12% more Salvage, Block Damage and Attack Speed"
SalvagerRank3Desc,progression,Skill,"+18% more Salvage, Block Damage and Attack Speed"
SalvagerRank4Desc,progression,Skill,"+24% more Salvage, Block Damage and Attack Speed"
SalvagerRank5Desc,progression,Skill,"+30% more Salvage, Block Damage and Attack Speed"
SalvagerRank6Desc,progression,Skill,"+34% more Salvage, Block Damage and Attack Speed"
SalvagerRank7Desc,progression,Skill,"+38% more Salvage, Block Damage and Attack Speed"
SalvagerRank8Desc,progression,Skill,"+42% more Salvage, Block Damage and Attack Speed"
